2.1665,0.5906,9.472347,C60,1
3.0378,0.1766,8.476747,C60,2
1.2786,-0.3098,10.052847,C60,3
3.0118,-1.1434,8.050347,C60,4
3.1034,-1.4335,6.691947,C60,5
3.1503,1.2106,7.553147,C60,6
3.2428,0.9149,6.199047,C60,7
3.2192,-0.4023,5.764247,C60,8
-0.4393,1.3527,10.012047,C60,9
0.4363,2.2618,9.439147,C60,10
-0.0296,0.0633,10.322847,C60,11
1.7442,1.879,9.167947,C60,12
2.3519,2.2676,7.983947,C60,13
-0.2633,3.0268,8.517547,C60,14
0.3374,3.4054,7.322247,C60,15
1.6516,3.0278,7.055647,C60,16
-2.0903,-0.8225,9.480447,C60,17
-2.5111,0.4664,9.170347,C60,18
-0.8449,-1.0252,10.058747,C60,19
-1.6874,1.5533,9.436147,C60,20
-1.5843,2.5858,8.516847,C60,21
-3.2314,0.4061,7.985647,C60,22
-3.1227,1.441,7.059547,C60,23
-2.2947,2.5291,7.324847,C60,24
-0.4908,-2.9133,8.621447,C60,25
-1.743,-2.7124,8.048647,C60,26
-0.0393,-2.0684,9.630247,C60,27
-2.5486,-1.665,8.479147,C60,28
-3.2602,-0.9141,7.555047,C60,29
-1.6543,-3.0061,6.695247,C60,30
-2.3542,-2.2439,5.767947,C60,31
-3.1643,-1.1949,6.197147,C60,32
2.1364,-2.0553,8.620747,C60,33
1.6895,-2.9009,7.614247,C60,34
1.2785,-1.6366,9.628447,C60,35
0.3678,-3.3327,7.615147,C60,36
-0.344,-3.3904,6.425547,C60,37
2.2889,-2.525,6.420947,C60,38
1.579,-2.5718,5.226947,C60,39
0.256,-3.0054,5.231847,C60,40
-2.1828,-0.5783,4.287047,C60,41
-1.748,-1.8694,4.576647,C60,42
-0.4385,-2.2469,4.300447,C60,43
-1.2815,0.3189,3.717847,C60,44
-2.1526,2.0545,5.147147,C60,45
-3.0485,1.1535,5.703847,C60,46
-3.0656,-0.1629,5.274247,C60,47
-1.2661,1.6407,4.157847,C60,48
0.5039,2.9361,5.143147,C60,49
-0.3788,3.3561,6.133647,C60,50
-1.6943,2.9186,6.135847,C60,51
0.0521,2.073,4.149447,C60,52
2.0976,0.834,4.279847,C60,53
2.5517,1.6923,5.274247,C60,54
1.7589,2.7452,5.702547,C60,55
0.842,1.0206,3.706347,C60,56
0.4461,-1.3495,3.718847,C60,57
1.6983,-1.5485,4.294147,C60,58
2.5184,-0.4623,4.567847,C60,59
0.0218,-0.0645,3.426447,C60,60
